Term;Frequency
share organizations surveyed;746
impact job creation;334
share companies surveyed;287
future jobs report;196
skills knowledge abilities;192
fourth industrial revolution;182
labour force participation;178
potential labour force;172
improve talent availability;169
job creator job;168
creator job displacer;168
transformation expected impact;167
drive industry transformation;167
job creation technologies;167
expected impact job;167
industry transformation expected;166
job displacer global;166
structural churn percent;166
comprehensive dei training;165
leadership social influence;156
